il,ilce,koltuk_tipi,koltuk_sayisi,leke_durumu,fiyat
Antalya,Muratpaşa,İkili,2,"Evet, zor lekeler var",985 TL
İstanbul,Beşiktaş,İkili,4,"Hayır, genel temizlik yeterli",1049 TL
Ankara,Etimesgut,İkili,6,"Hayır, genel temizlik yeterli",2235 TL
İstanbul,Beşiktaş,Üçlü,6,"Evet, zor lekeler var",1350 TL
İzmir,Bornova,Tekli,3,"Evet, zor lekeler var",1687 TL
Antalya,Muratpaşa,U Köşe,1,"Evet, zor lekeler var",1141 TL
Bursa,Osmangazi,L Köşe,6,"Evet, zor lekeler var",2448 TL
Antalya,Alanya,İkili,5,"Evet, zor lekeler var",963 TL
Bursa,Yıldırım,Üçlü,5,"Evet, zor lekeler var",1384 TL
Antalya,Kepez,Tekli,4,"Hayır, genel temizlik yeterli",1317 TL
Antalya,Muratpaşa,L Köşe,5,"Evet, zor lekeler var",2167 TL
İstanbul,Üsküdar,Tekli,1,"Evet, zor lekeler var",2364 TL
Antalya,Alanya,L Köşe,3,"Hayır, genel temizlik yeterli",2161 TL
İzmir,Karşıyaka,Üçlü,2,"Evet, zor lekeler var",1158 TL
Bursa,Nilüfer,L Köşe,1,"Hayır, genel temizlik yeterli",671 TL
İzmir,Karşıyaka,Üçlü,5,"Evet, zor lekeler var",2472 TL
İstanbul,Üsküdar,Tekli,5,"Evet, zor lekeler var",528 TL
Bursa,Yıldırım,İkili,5,"Hayır, genel temizlik yeterli",1266 TL
Bursa,Yıldırım,İkili,5,"Evet, zor lekeler var",2109 TL
İstanbul,Kadıköy,İkili,1,"Hayır, genel temizlik yeterli",415 TL
Ankara,Keçiören,U Köşe,2,"Evet, zor lekeler var",1319 TL
Bursa,Osmangazi,Tekli,1,"Hayır, genel temizlik yeterli",875 TL
Ankara,Çankaya,L Köşe,6,"Hayır, genel temizlik yeterli",2251 TL
Ankara,Çankaya,U Köşe,5,"Evet, zor lekeler var",2350 TL
İstanbul,Beşiktaş,L Köşe,3,"Evet, zor lekeler var",676 TL
Bursa,Nilüfer,İkili,3,"Evet, zor lekeler var",1056 TL
Ankara,Keçiören,Tekli,4,"Evet, zor lekeler var",491 TL
İstanbul,Beşiktaş,U Köşe,2,"Evet, zor lekeler var",1089 TL
Ankara,Mamak,İkili,6,"Hayır, genel temizlik yeterli",2253 TL
İstanbul,Beşiktaş,Üçlü,4,"Hayır, genel temizlik yeterli",1759 TL
İzmir,Karşıyaka,Tekli,3,"Evet, zor lekeler var",1333 TL
Ankara,Çankaya,Üçlü,6,"Hayır, genel temizlik yeterli",1992 TL
İzmir,Buca,Üçlü,1,"Hayır, genel temizlik yeterli",1084 TL
Bursa,Yıldırım,U Köşe,5,"Evet, zor lekeler var",2122 TL
İzmir,Konak,U Köşe,1,"Hayır, genel temizlik yeterli",585 TL
İzmir,Buca,İkili,6,"Hayır, genel temizlik yeterli",735 TL
Ankara,Çankaya,Tekli,2,"Hayır, genel temizlik yeterli",574 TL
Ankara,Keçiören,Üçlü,2,"Evet, zor lekeler var",535 TL
Antalya,Muratpaşa,U Köşe,4,"Evet, zor lekeler var",768 TL
Bursa,Yıldırım,Üçlü,5,"Hayır, genel temizlik yeterli",759 TL
Ankara,Çankaya,L Köşe,2,"Evet, zor lekeler var",993 TL
İstanbul,Beşiktaş,Tekli,2,"Hayır, genel temizlik yeterli",743 TL
Bursa,Osmangazi,Üçlü,4,"Evet, zor lekeler var",980 TL
Antalya,Muratpaşa,L Köşe,4,"Evet, zor lekeler var",1996 TL
Bursa,Osmangazi,U Köşe,3,"Hayır, genel temizlik yeterli",521 TL
İzmir,Karşıyaka,İkili,1,"Hayır, genel temizlik yeterli",2369 TL
Ankara,Mamak,L Köşe,4,"Evet, zor lekeler var",1065 TL
İstanbul,Beşiktaş,Tekli,5,"Hayır, genel temizlik yeterli",673 TL
Bursa,Osmangazi,Tekli,5,"Evet, zor lekeler var",1351 TL
İstanbul,Bakırköy,Tekli,3,"Evet, zor lekeler var",869 TL
Antalya,Alanya,Tekli,2,"Evet, zor lekeler var",308 TL
İstanbul,Bakırköy,L Köşe,1,"Hayır, genel temizlik yeterli",2016 TL
İstanbul,Beşiktaş,Tekli,3,"Hayır, genel temizlik yeterli",711 TL
Ankara,Mamak,İkili,1,"Evet, zor lekeler var",582 TL
İzmir,Karşıyaka,L Köşe,3,"Hayır, genel temizlik yeterli",1058 TL
İzmir,Konak,L Köşe,6,"Evet, zor lekeler var",1845 TL
Ankara,Çankaya,Üçlü,1,"Hayır, genel temizlik yeterli",401 TL
Ankara,Çankaya,U Köşe,2,"Evet, zor lekeler var",1009 TL
Ankara,Etimesgut,U Köşe,5,"Evet, zor lekeler var",1999 TL
İstanbul,Kadıköy,U Köşe,6,"Evet, zor lekeler var",507 TL
İzmir,Buca,L Köşe,2,"Evet, zor lekeler var",729 TL
Ankara,Çankaya,Üçlü,1,"Evet, zor lekeler var",1124 TL
Ankara,Etimesgut,İkili,6,"Hayır, genel temizlik yeterli",830 TL
İzmir,Bornova,Üçlü,5,"Hayır, genel temizlik yeterli",1602 TL
Ankara,Çankaya,U Köşe,1,"Hayır, genel temizlik yeterli",1453 TL
Bursa,Osmangazi,L Köşe,4,"Evet, zor lekeler var",1228 TL
İzmir,Karşıyaka,Tekli,6,"Hayır, genel temizlik yeterli",1131 TL
İstanbul,Bakırköy,L Köşe,5,"Hayır, genel temizlik yeterli",1182 TL
İstanbul,Beşiktaş,L Köşe,4,"Evet, zor lekeler var",568 TL
Antalya,Alanya,L Köşe,1,"Evet, zor lekeler var",1400 TL
İzmir,Bornova,Tekli,5,"Evet, zor lekeler var",2385 TL
Ankara,Keçiören,Üçlü,1,"Evet, zor lekeler var",859 TL
Bursa,Nilüfer,L Köşe,4,"Hayır, genel temizlik yeterli",2018 TL
Ankara,Keçiören,L Köşe,3,"Evet, zor lekeler var",2216 TL
İzmir,Bornova,U Köşe,5,"Hayır, genel temizlik yeterli",902 TL
İstanbul,Kadıköy,İkili,5,"Evet, zor lekeler var",2444 TL
İzmir,Bornova,L Köşe,6,"Hayır, genel temizlik yeterli",1721 TL
Ankara,Keçiören,Tekli,6,"Evet, zor lekeler var",1218 TL
İstanbul,Üsküdar,L Köşe,4,"Evet, zor lekeler var",1652 TL
İzmir,Buca,Üçlü,1,"Hayır, genel temizlik yeterli",797 TL
Ankara,Keçiören,İkili,1,"Hayır, genel temizlik yeterli",810 TL
Bursa,Yıldırım,L Köşe,5,"Evet, zor lekeler var",642 TL
Bursa,Osmangazi,İkili,3,"Hayır, genel temizlik yeterli",974 TL
İzmir,Buca,L Köşe,5,"Hayır, genel temizlik yeterli",963 TL
Ankara,Mamak,U Köşe,1,"Hayır, genel temizlik yeterli",1516 TL
Bursa,Osmangazi,Tekli,5,"Hayır, genel temizlik yeterli",512 TL
Ankara,Keçiören,Üçlü,6,"Hayır, genel temizlik yeterli",1939 TL
Ankara,Keçiören,İkili,5,"Hayır, genel temizlik yeterli",1293 TL
Bursa,Yıldırım,U Köşe,6,"Hayır, genel temizlik yeterli",2418 TL
Ankara,Keçiören,Tekli,3,"Evet, zor lekeler var",2204 TL
İstanbul,Kadıköy,Üçlü,5,"Hayır, genel temizlik yeterli",2475 TL
İzmir,Konak,L Köşe,3,"Evet, zor lekeler var",2449 TL
Bursa,Osmangazi,U Köşe,5,"Evet, zor lekeler var",961 TL
İzmir,Buca,İkili,6,"Hayır, genel temizlik yeterli",319 TL
Antalya,Kepez,Üçlü,5,"Evet, zor lekeler var",1894 TL
Bursa,Osmangazi,Tekli,1,"Evet, zor lekeler var",768 TL
Bursa,Yıldırım,L Köşe,2,"Hayır, genel temizlik yeterli",1214 TL
Bursa,Nilüfer,Tekli,1,"Hayır, genel temizlik yeterli",2150 TL
İzmir,Karşıyaka,U Köşe,1,"Evet, zor lekeler var",2276 TL
İstanbul,Bakırköy,Üçlü,6,"Evet, zor lekeler var",1980 TL
İzmir,Bornova,Üçlü,2,"Evet, zor lekeler var",1713 TL
Antalya,Muratpaşa,Tekli,3,"Evet, zor lekeler var",474 TL
Antalya,Alanya,L Köşe,1,"Hayır, genel temizlik yeterli",633 TL
Antalya,Muratpaşa,L Köşe,6,"Evet, zor lekeler var",1170 TL
Ankara,Etimesgut,Tekli,5,"Evet, zor lekeler var",1991 TL
Bursa,Yıldırım,Üçlü,4,"Hayır, genel temizlik yeterli",1350 TL
İstanbul,Bakırköy,U Köşe,5,"Evet, zor lekeler var",2004 TL
Bursa,Nilüfer,Üçlü,2,"Evet, zor lekeler var",1601 TL
İzmir,Buca,U Köşe,2,"Hayır, genel temizlik yeterli",1741 TL
Ankara,Çankaya,U Köşe,5,"Evet, zor lekeler var",1020 TL
Bursa,Osmangazi,Üçlü,3,"Evet, zor lekeler var",1670 TL
Antalya,Kepez,U Köşe,6,"Evet, zor lekeler var",1823 TL
Bursa,Yıldırım,U Köşe,3,"Hayır, genel temizlik yeterli",2151 TL
İstanbul,Üsküdar,İkili,1,"Hayır, genel temizlik yeterli",2156 TL
Ankara,Mamak,L Köşe,6,"Evet, zor lekeler var",531 TL
Bursa,Nilüfer,L Köşe,2,"Hayır, genel temizlik yeterli",2076 TL
İzmir,Konak,L Köşe,2,"Hayır, genel temizlik yeterli",1397 TL
İzmir,Bornova,L Köşe,4,"Evet, zor lekeler var",2469 TL
Antalya,Muratpaşa,İkili,2,"Evet, zor lekeler var",1723 TL
İstanbul,Üsküdar,Üçlü,1,"Evet, zor lekeler var",2460 TL
Ankara,Keçiören,U Köşe,1,"Evet, zor lekeler var",2413 TL
İstanbul,Kadıköy,L Köşe,3,"Hayır, genel temizlik yeterli",1235 TL
Ankara,Keçiören,L Köşe,3,"Hayır, genel temizlik yeterli",1106 TL
İstanbul,Kadıköy,U Köşe,2,"Evet, zor lekeler var",1269 TL
Antalya,Alanya,Üçlü,2,"Evet, zor lekeler var",557 TL
İstanbul,Kadıköy,İkili,3,"Hayır, genel temizlik yeterli",442 TL
İzmir,Bornova,L Köşe,5,"Hayır, genel temizlik yeterli",722 TL
Ankara,Mamak,U Köşe,6,"Evet, zor lekeler var",2042 TL
Ankara,Etimesgut,L Köşe,5,"Evet, zor lekeler var",1225 TL
Antalya,Kepez,U Köşe,5,"Hayır, genel temizlik yeterli",1216 TL
Bursa,Yıldırım,L Köşe,2,"Evet, zor lekeler var",1344 TL
Antalya,Kepez,İkili,3,"Hayır, genel temizlik yeterli",1537 TL
İzmir,Karşıyaka,Üçlü,1,"Evet, zor lekeler var",1131 TL
İstanbul,Beşiktaş,L Köşe,1,"Evet, zor lekeler var",2009 TL
Antalya,Alanya,Tekli,6,"Hayır, genel temizlik yeterli",2052 TL
İstanbul,Beşiktaş,U Köşe,5,"Hayır, genel temizlik yeterli",1252 TL
Bursa,Osmangazi,Tekli,3,"Hayır, genel temizlik yeterli",1035 TL
İstanbul,Üsküdar,İkili,5,"Evet, zor lekeler var",1355 TL
Antalya,Alanya,Üçlü,6,"Hayır, genel temizlik yeterli",512 TL
İzmir,Karşıyaka,L Köşe,2,"Evet, zor lekeler var",2109 TL
Antalya,Kepez,İkili,5,"Hayır, genel temizlik yeterli",2378 TL
İzmir,Buca,Üçlü,6,"Evet, zor lekeler var",880 TL
Antalya,Alanya,Tekli,5,"Hayır, genel temizlik yeterli",428 TL
İstanbul,Bakırköy,U Köşe,5,"Evet, zor lekeler var",901 TL
Bursa,Yıldırım,Tekli,5,"Evet, zor lekeler var",1199 TL
Bursa,Yıldırım,İkili,5,"Hayır, genel temizlik yeterli",1131 TL
Ankara,Etimesgut,L Köşe,3,"Evet, zor lekeler var",1505 TL
İstanbul,Bakırköy,İkili,6,"Hayır, genel temizlik yeterli",1496 TL
İzmir,Konak,Tekli,5,"Evet, zor lekeler var",375 TL
İzmir,Bornova,L Köşe,2,"Evet, zor lekeler var",2443 TL
İzmir,Karşıyaka,L Köşe,4,"Evet, zor lekeler var",2289 TL
İzmir,Buca,Tekli,6,"Hayır, genel temizlik yeterli",2347 TL
İzmir,Konak,Tekli,1,"Hayır, genel temizlik yeterli",2372 TL
Antalya,Kepez,Üçlü,3,"Evet, zor lekeler var",1671 TL
Bursa,Nilüfer,U Köşe,5,"Evet, zor lekeler var",1625 TL
Bursa,Nilüfer,L Köşe,1,"Evet, zor lekeler var",1318 TL
İstanbul,Beşiktaş,Tekli,6,"Evet, zor lekeler var",1750 TL
Ankara,Çankaya,Tekli,6,"Hayır, genel temizlik yeterli",2118 TL
Antalya,Alanya,Üçlü,1,"Evet, zor lekeler var",2061 TL
Bursa,Osmangazi,Üçlü,6,"Evet, zor lekeler var",944 TL
Antalya,Kepez,İkili,6,"Hayır, genel temizlik yeterli",2386 TL
Ankara,Etimesgut,L Köşe,3,"Evet, zor lekeler var",950 TL
İzmir,Bornova,Tekli,2,"Evet, zor lekeler var",2444 TL
İstanbul,Bakırköy,U Köşe,1,"Evet, zor lekeler var",357 TL
İstanbul,Kadıköy,L Köşe,5,"Evet, zor lekeler var",962 TL
Antalya,Muratpaşa,U Köşe,4,"Evet, zor lekeler var",1882 TL
Antalya,Alanya,L Köşe,2,"Evet, zor lekeler var",1399 TL
İstanbul,Kadıköy,Tekli,3,"Evet, zor lekeler var",2031 TL
İzmir,Karşıyaka,Tekli,5,"Hayır, genel temizlik yeterli",1232 TL
Ankara,Mamak,L Köşe,6,"Evet, zor lekeler var",2480 TL
İstanbul,Kadıköy,Üçlü,6,"Hayır, genel temizlik yeterli",1428 TL
Bursa,Nilüfer,L Köşe,1,"Evet, zor lekeler var",351 TL
İstanbul,Üsküdar,Üçlü,3,"Evet, zor lekeler var",1399 TL
Antalya,Alanya,Üçlü,6,"Hayır, genel temizlik yeterli",984 TL
İzmir,Buca,Tekli,3,"Evet, zor lekeler var",441 TL
Ankara,Çankaya,İkili,4,"Evet, zor lekeler var",1613 TL
İzmir,Bornova,İkili,4,"Evet, zor lekeler var",768 TL
İzmir,Konak,Üçlü,1,"Evet, zor lekeler var",1093 TL
İzmir,Karşıyaka,U Köşe,1,"Hayır, genel temizlik yeterli",956 TL
Bursa,Osmangazi,İkili,1,"Hayır, genel temizlik yeterli",2172 TL
Ankara,Etimesgut,U Köşe,2,"Hayır, genel temizlik yeterli",598 TL
Bursa,Osmangazi,İkili,3,"Hayır, genel temizlik yeterli",487 TL
İstanbul,Beşiktaş,L Köşe,5,"Evet, zor lekeler var",1920 TL
İzmir,Konak,Tekli,1,"Hayır, genel temizlik yeterli",1923 TL
Antalya,Kepez,Üçlü,6,"Evet, zor lekeler var",641 TL
Ankara,Etimesgut,L Köşe,1,"Evet, zor lekeler var",490 TL
İstanbul,Üsküdar,İkili,3,"Evet, zor lekeler var",1288 TL
Ankara,Etimesgut,Üçlü,4,"Evet, zor lekeler var",1673 TL
Ankara,Etimesgut,Üçlü,3,"Hayır, genel temizlik yeterli",565 TL
Bursa,Osmangazi,İkili,2,"Hayır, genel temizlik yeterli",1666 TL
Ankara,Etimesgut,U Köşe,4,"Hayır, genel temizlik yeterli",1433 TL
Antalya,Kepez,Üçlü,1,"Hayır, genel temizlik yeterli",1628 TL
Bursa,Yıldırım,U Köşe,2,"Hayır, genel temizlik yeterli",1207 TL
Antalya,Alanya,U Köşe,3,"Hayır, genel temizlik yeterli",1531 TL
Antalya,Muratpaşa,İkili,4,"Evet, zor lekeler var",1555 TL
Bursa,Yıldırım,L Köşe,1,"Hayır, genel temizlik yeterli",1143 TL
Ankara,Etimesgut,Tekli,5,"Hayır, genel temizlik yeterli",361 TL
Ankara,Etimesgut,U Köşe,4,"Evet, zor lekeler var",2115 TL
İzmir,Karşıyaka,L Köşe,1,"Hayır, genel temizlik yeterli",1535 TL
İzmir,Bornova,L Köşe,3,"Hayır, genel temizlik yeterli",1957 TL
Antalya,Alanya,Üçlü,6,"Evet, zor lekeler var",1454 TL
Antalya,Kepez,İkili,4,"Hayır, genel temizlik yeterli",1342 TL
İzmir,Buca,U Köşe,3,"Evet, zor lekeler var",1046 TL
İzmir,Bornova,İkili,3,"Hayır, genel temizlik yeterli",1785 TL
İzmir,Buca,İkili,2,"Evet, zor lekeler var",1501 TL
Ankara,Etimesgut,İkili,5,"Hayır, genel temizlik yeterli",373 TL
Ankara,Mamak,Üçlü,4,"Evet, zor lekeler var",2000 TL
Bursa,Yıldırım,U Köşe,5,"Evet, zor lekeler var",1994 TL
Antalya,Muratpaşa,Üçlü,1,"Hayır, genel temizlik yeterli",2034 TL
Antalya,Kepez,L Köşe,3,"Hayır, genel temizlik yeterli",604 TL
Antalya,Muratpaşa,Tekli,3,"Evet, zor lekeler var",1926 TL
Bursa,Osmangazi,Üçlü,2,"Evet, zor lekeler var",2291 TL
İstanbul,Beşiktaş,Tekli,1,"Evet, zor lekeler var",1095 TL
Bursa,Nilüfer,İkili,6,"Hayır, genel temizlik yeterli",1384 TL
Antalya,Muratpaşa,Üçlü,1,"Evet, zor lekeler var",1201 TL
İstanbul,Kadıköy,İkili,4,"Hayır, genel temizlik yeterli",496 TL
Antalya,Kepez,U Köşe,1,"Evet, zor lekeler var",1722 TL
Bursa,Yıldırım,İkili,1,"Hayır, genel temizlik yeterli",2186 TL
Ankara,Çankaya,Üçlü,2,"Evet, zor lekeler var",1619 TL
Antalya,Kepez,U Köşe,5,"Evet, zor lekeler var",1366 TL
Antalya,Kepez,U Köşe,2,"Evet, zor lekeler var",2175 TL
İzmir,Karşıyaka,Tekli,3,"Evet, zor lekeler var",2264 TL
İzmir,Konak,Üçlü,3,"Hayır, genel temizlik yeterli",2462 TL
İzmir,Karşıyaka,İkili,1,"Evet, zor lekeler var",1714 TL
İzmir,Bornova,İkili,3,"Hayır, genel temizlik yeterli",2130 TL
İstanbul,Beşiktaş,Üçlü,1,"Hayır, genel temizlik yeterli",1111 TL
Ankara,Keçiören,Tekli,4,"Hayır, genel temizlik yeterli",353 TL
Ankara,Etimesgut,U Köşe,1,"Hayır, genel temizlik yeterli",1368 TL
İzmir,Buca,İkili,5,"Evet, zor lekeler var",913 TL
Ankara,Keçiören,İkili,4,"Evet, zor lekeler var",366 TL
Antalya,Alanya,U Köşe,2,"Hayır, genel temizlik yeterli",847 TL
Antalya,Kepez,Üçlü,5,"Hayır, genel temizlik yeterli",405 TL
Ankara,Keçiören,Üçlü,2,"Hayır, genel temizlik yeterli",2156 TL
Antalya,Muratpaşa,L Köşe,2,"Hayır, genel temizlik yeterli",1848 TL
Antalya,Kepez,Üçlü,1,"Evet, zor lekeler var",404 TL
Bursa,Nilüfer,U Köşe,2,"Evet, zor lekeler var",834 TL
Ankara,Çankaya,Tekli,6,"Evet, zor lekeler var",1045 TL
Ankara,Mamak,Tekli,1,"Hayır, genel temizlik yeterli",798 TL
Bursa,Nilüfer,Tekli,3,"Hayır, genel temizlik yeterli",1394 TL
Antalya,Kepez,İkili,4,"Evet, zor lekeler var",1643 TL
İzmir,Bornova,U Köşe,6,"Hayır, genel temizlik yeterli",1691 TL
Antalya,Alanya,U Köşe,6,"Evet, zor lekeler var",1984 TL
İstanbul,Üsküdar,İkili,4,"Hayır, genel temizlik yeterli",2092 TL
Antalya,Alanya,Üçlü,1,"Evet, zor lekeler var",1393 TL
Ankara,Keçiören,İkili,5,"Hayır, genel temizlik yeterli",1099 TL
Antalya,Alanya,İkili,6,"Evet, zor lekeler var",1616 TL
İstanbul,Üsküdar,U Köşe,5,"Evet, zor lekeler var",995 TL
Bursa,Osmangazi,U Köşe,2,"Evet, zor lekeler var",493 TL
Ankara,Çankaya,U Köşe,3,"Hayır, genel temizlik yeterli",2054 TL
Antalya,Muratpaşa,Üçlü,5,"Evet, zor lekeler var",1988 TL
Bursa,Nilüfer,Üçlü,1,"Evet, zor lekeler var",1859 TL
İstanbul,Beşiktaş,Üçlü,1,"Evet, zor lekeler var",1439 TL
Bursa,Osmangazi,İkili,1,"Evet, zor lekeler var",634 TL
İzmir,Konak,Üçlü,5,"Hayır, genel temizlik yeterli",666 TL
İzmir,Konak,Tekli,2,"Hayır, genel temizlik yeterli",1337 TL
Bursa,Nilüfer,U Köşe,1,"Evet, zor lekeler var",525 TL
İzmir,Karşıyaka,U Köşe,5,"Evet, zor lekeler var",1030 TL
İstanbul,Bakırköy,Tekli,6,"Evet, zor lekeler var",2463 TL
Antalya,Muratpaşa,L Köşe,3,"Hayır, genel temizlik yeterli",1856 TL
Antalya,Alanya,Tekli,3,"Hayır, genel temizlik yeterli",370 TL
İstanbul,Kadıköy,İkili,2,"Evet, zor lekeler var",2194 TL
İzmir,Konak,Tekli,1,"Hayır, genel temizlik yeterli",1224 TL
Ankara,Çankaya,U Köşe,2,"Hayır, genel temizlik yeterli",2437 TL
Ankara,Mamak,Üçlü,1,"Evet, zor lekeler var",863 TL
Ankara,Mamak,Üçlü,2,"Evet, zor lekeler var",1787 TL
Antalya,Muratpaşa,Üçlü,2,"Hayır, genel temizlik yeterli",1603 TL
Antalya,Kepez,İkili,6,"Evet, zor lekeler var",2477 TL
İzmir,Bornova,İkili,3,"Hayır, genel temizlik yeterli",716 TL
İstanbul,Bakırköy,L Köşe,1,"Hayır, genel temizlik yeterli",1330 TL
İstanbul,Beşiktaş,Tekli,1,"Evet, zor lekeler var",2414 TL
Bursa,Nilüfer,Üçlü,6,"Evet, zor lekeler var",517 TL
Ankara,Keçiören,L Köşe,3,"Hayır, genel temizlik yeterli",1150 TL
Antalya,Alanya,U Köşe,1,"Hayır, genel temizlik yeterli",1155 TL
Antalya,Alanya,İkili,4,"Hayır, genel temizlik yeterli",1210 TL
İzmir,Bornova,Tekli,1,"Evet, zor lekeler var",321 TL
İzmir,Bornova,Tekli,2,"Hayır, genel temizlik yeterli",840 TL
İzmir,Bornova,Tekli,3,"Hayır, genel temizlik yeterli",1977 TL
Antalya,Muratpaşa,Tekli,3,"Evet, zor lekeler var",1448 TL
Antalya,Muratpaşa,Tekli,2,"Evet, zor lekeler var",847 TL
İzmir,Bornova,L Köşe,2,"Hayır, genel temizlik yeterli",1562 TL
Bursa,Nilüfer,Üçlü,2,"Hayır, genel temizlik yeterli",490 TL
İzmir,Bornova,İkili,2,"Evet, zor lekeler var",1865 TL
Antalya,Kepez,İkili,1,"Evet, zor lekeler var",1981 TL
Antalya,Muratpaşa,Üçlü,2,"Hayır, genel temizlik yeterli",2125 TL
Ankara,Çankaya,İkili,5,"Hayır, genel temizlik yeterli",2349 TL
Ankara,Etimesgut,Tekli,2,"Hayır, genel temizlik yeterli",510 TL
İzmir,Bornova,İkili,1,"Evet, zor lekeler var",1519 TL
Antalya,Alanya,Üçlü,5,"Hayır, genel temizlik yeterli",1475 TL
Ankara,Etimesgut,Üçlü,1,"Hayır, genel temizlik yeterli",1202 TL
İstanbul,Bakırköy,L Köşe,6,"Hayır, genel temizlik yeterli",1845 TL
Ankara,Etimesgut,L Köşe,1,"Hayır, genel temizlik yeterli",2259 TL
Ankara,Mamak,Tekli,1,"Hayır, genel temizlik yeterli",1964 TL
Bursa,Nilüfer,L Köşe,6,"Hayır, genel temizlik yeterli",1108 TL
Bursa,Nilüfer,L Köşe,5,"Hayır, genel temizlik yeterli",1900 TL
Ankara,Keçiören,İkili,6,"Evet, zor lekeler var",542 TL
İzmir,Bornova,L Köşe,2,"Evet, zor lekeler var",2149 TL
Antalya,Alanya,U Köşe,4,"Hayır, genel temizlik yeterli",2311 TL
İstanbul,Kadıköy,Tekli,6,"Evet, zor lekeler var",682 TL
Ankara,Etimesgut,Tekli,1,"Hayır, genel temizlik yeterli",2280 TL
İzmir,Buca,U Köşe,1,"Evet, zor lekeler var",2045 TL
Antalya,Kepez,L Köşe,3,"Evet, zor lekeler var",1753 TL
Ankara,Mamak,Tekli,4,"Hayır, genel temizlik yeterli",1687 TL
İstanbul,Beşiktaş,İkili,5,"Hayır, genel temizlik yeterli",2060 TL
İzmir,Konak,İkili,2,"Hayır, genel temizlik yeterli",909 TL
İstanbul,Üsküdar,Tekli,6,"Hayır, genel temizlik yeterli",2389 TL
Antalya,Kepez,Üçlü,1,"Hayır, genel temizlik yeterli",2406 TL
Bursa,Osmangazi,Tekli,3,"Hayır, genel temizlik yeterli",746 TL
Antalya,Alanya,Tekli,3,"Hayır, genel temizlik yeterli",1835 TL
İzmir,Karşıyaka,İkili,4,"Evet, zor lekeler var",783 TL
İzmir,Bornova,İkili,1,"Hayır, genel temizlik yeterli",968 TL
İzmir,Buca,Üçlü,4,"Evet, zor lekeler var",2040 TL
Bursa,Osmangazi,L Köşe,4,"Hayır, genel temizlik yeterli",1416 TL
İzmir,Bornova,Üçlü,5,"Evet, zor lekeler var",1439 TL
Bursa,Osmangazi,Tekli,6,"Hayır, genel temizlik yeterli",1054 TL
Bursa,Osmangazi,Üçlü,4,"Hayır, genel temizlik yeterli",952 TL
Antalya,Kepez,L Köşe,4,"Evet, zor lekeler var",1332 TL
Ankara,Keçiören,L Köşe,1,"Hayır, genel temizlik yeterli",1298 TL
Antalya,Kepez,U Köşe,4,"Hayır, genel temizlik yeterli",2335 TL
İstanbul,Üsküdar,İkili,3,"Hayır, genel temizlik yeterli",1452 TL
Bursa,Osmangazi,Üçlü,1,"Hayır, genel temizlik yeterli",2113 TL
Ankara,Çankaya,L Köşe,1,"Hayır, genel temizlik yeterli",604 TL
İstanbul,Beşiktaş,Tekli,4,"Hayır, genel temizlik yeterli",2239 TL
İstanbul,Beşiktaş,U Köşe,1,"Evet, zor lekeler var",395 TL
Antalya,Kepez,Üçlü,4,"Hayır, genel temizlik yeterli",1278 TL
Ankara,Çankaya,Üçlü,6,"Hayır, genel temizlik yeterli",1328 TL
İzmir,Konak,İkili,4,"Hayır, genel temizlik yeterli",624 TL
Bursa,Osmangazi,Üçlü,3,"Evet, zor lekeler var",430 TL
Bursa,Yıldırım,İkili,5,"Hayır, genel temizlik yeterli",1057 TL
Ankara,Mamak,İkili,3,"Evet, zor lekeler var",1726 TL
Ankara,Çankaya,U Köşe,4,"Evet, zor lekeler var",997 TL
Ankara,Çankaya,İkili,6,"Hayır, genel temizlik yeterli",2365 TL
Ankara,Etimesgut,İkili,3,"Evet, zor lekeler var",2195 TL
Ankara,Etimesgut,Tekli,3,"Evet, zor lekeler var",882 TL
İstanbul,Üsküdar,Üçlü,1,"Evet, zor lekeler var",1611 TL
İzmir,Bornova,Tekli,3,"Evet, zor lekeler var",2187 TL
İstanbul,Üsküdar,L Köşe,5,"Evet, zor lekeler var",674 TL
İzmir,Konak,İkili,6,"Hayır, genel temizlik yeterli",1865 TL
İstanbul,Üsküdar,Tekli,4,"Hayır, genel temizlik yeterli",1190 TL
İstanbul,Bakırköy,İkili,1,"Hayır, genel temizlik yeterli",568 TL
İzmir,Buca,Tekli,2,"Hayır, genel temizlik yeterli",1716 TL
İstanbul,Üsküdar,U Köşe,3,"Hayır, genel temizlik yeterli",1173 TL
Bursa,Yıldırım,Tekli,2,"Evet, zor lekeler var",793 TL
İzmir,Bornova,Üçlü,4,"Evet, zor lekeler var",1378 TL
Ankara,Keçiören,Üçlü,5,"Hayır, genel temizlik yeterli",1322 TL
Ankara,Keçiören,İkili,3,"Hayır, genel temizlik yeterli",968 TL
İstanbul,Kadıköy,L Köşe,2,"Evet, zor lekeler var",2369 TL
İzmir,Konak,İkili,2,"Hayır, genel temizlik yeterli",1876 TL
Bursa,Yıldırım,Tekli,3,"Evet, zor lekeler var",1757 TL
Bursa,Yıldırım,L Köşe,5,"Evet, zor lekeler var",862 TL
Ankara,Etimesgut,İkili,6,"Hayır, genel temizlik yeterli",1004 TL
Bursa,Nilüfer,U Köşe,5,"Evet, zor lekeler var",2227 TL
İzmir,Buca,İkili,4,"Hayır, genel temizlik yeterli",1624 TL
İzmir,Buca,Üçlü,3,"Evet, zor lekeler var",1701 TL
Bursa,Nilüfer,Tekli,2,"Evet, zor lekeler var",1432 TL
